Parameter,A,A,A,B,B,B,C,C,C,D,D,D,E,E,E,Column length,Column angle,I-shaft length,Pinion length,Mounting angle,Offset angle,UJ1 angle,UJ2 angle,diff in UJ angles,Modulation (%)
 ,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z, , , , , , , , , , 
0,2600.0,300.0,1575.0,2168.34,300.0,1249.72,1922.76,237.93,903.69,1866.94,175.0,758.27,1852.0,175.0,764.0,490.5,37.0,428.83,168.0,69.0,22.0,19.44,19.44,4e-05,5e-05
1,2600.0,300.0,1575.0,2178.17,300.0,1239.46,1924.04,229.08,899.59,1866.83,175.0,758.01,1852.0,175.0,764.0,489.0,38.5,430.26,162.0,68.0,19.5,17.45,17.45,5e-05,6e-05
2,2600.0,300.0,1575.0,2175.26,300.0,1243.16,1937.01,243.17,915.59,1866.62,175.0,757.49,1852.0,175.0,764.0,489.0,38.0,409.02,186.0,66.0,21.5,17.81,17.81,0.00011,0.00012
3,2600.0,300.0,1575.0,2168.34,300.0,1249.72,1948.44,238.07,970.58,1866.94,175.0,758.27,1852.0,175.0,764.0,490.5,37.0,360.71,236.0,69.0,15.5,17.71,17.71,0.00021,0.00023
4,2600.0,300.0,1575.0,2178.17,300.0,1239.46,2000.85,234.02,859.99,1861.85,175.0,751.39,1852.0,175.0,764.0,489.0,38.5,424.03,186.0,38.0,18.5,27.82,27.82,0.00017,0.00031
5,2600.0,300.0,1575.0,2168.34,300.0,1249.72,1937.63,241.0,942.42,1866.94,175.0,758.27,1852.0,175.0,764.0,490.5,37.0,388.77,208.0,69.0,18.5,18.26,18.26,0.00031,0.00036
6,2600.0,300.0,1575.0,2171.99,300.0,1246.57,1925.53,234.51,910.91,1866.94,175.0,758.27,1852.0,175.0,764.0,489.5,37.5,421.54,174.0,69.0,20.0,18.45,18.46,0.00037,0.00043
7,2600.0,300.0,1575.0,2174.87,300.0,1242.85,1926.14,236.44,897.72,1866.73,175.0,757.75,1852.0,175.0,764.0,489.5,38.0,430.14,164.0,67.0,22.0,18.26,18.26,0.00042,0.00048
8,2600.0,300.0,1575.0,2175.26,300.0,1243.16,1944.62,234.54,950.52,1866.83,175.0,758.01,1852.0,175.0,764.0,489.0,38.0,378.31,216.0,68.0,16.0,16.93,16.93,0.00046,0.00049
9,2600.0,300.0,1575.0,2174.47,300.0,1242.54,1939.66,241.09,929.55,1866.73,175.0,757.75,1852.0,175.0,764.0,490.0,38.0,395.69,198.0,67.0,19.5,17.33,17.33,0.00051,0.00055
10,2600.0,300.0,1575.0,2177.39,300.0,1238.84,1945.2,236.4,942.61,1866.73,175.0,757.75,1852.0,175.0,764.0,490.0,38.5,381.73,210.0,67.0,17.0,16.44,16.44,0.00054,0.00055
11,2600.0,300.0,1575.0,2178.17,300.0,1239.46,1922.0,216.56,909.55,1867.04,175.0,758.53,1852.0,175.0,764.0,489.0,38.5,425.95,166.0,70.0,14.5,17.67,17.67,0.00051,0.00057
12,2600.0,300.0,1575.0,2169.14,300.0,1250.32,1922.96,234.51,912.17,1867.04,175.0,758.53,1852.0,175.0,764.0,489.5,37.0,423.36,174.0,70.0,20.0,19.08,19.08,0.00048,0.00058
13,2600.0,300.0,1575.0,2171.99,300.0,1246.57,1920.2,223.28,912.91,1867.13,175.0,758.79,1852.0,175.0,764.0,489.5,37.5,424.99,170.0,71.0,16.5,18.56,18.56,0.00052,0.00061
14,2600.0,300.0,1575.0,2168.34,300.0,1249.72,1935.38,245.24,927.66,1866.83,175.0,758.01,1852.0,175.0,764.0,490.5,37.0,401.23,196.0,68.0,21.0,18.78,18.78,0.00053,0.00062
15,2600.0,300.0,1575.0,2174.08,300.0,1242.23,1934.5,242.43,909.96,1866.62,175.0,757.49,1852.0,175.0,764.0,490.5,38.0,413.67,180.0,66.0,22.0,18.03,18.03,0.00057,0.00065
16,2600.0,300.0,1575.0,2171.19,300.0,1245.96,1926.4,229.73,921.64,1867.04,175.0,758.53,1852.0,175.0,764.0,490.5,37.5,412.37,182.0,70.0,17.5,18.24,18.24,0.00063,0.00073
17,2600.0,300.0,1575.0,2171.99,300.0,1246.57,1946.22,230.16,964.8,1866.94,175.0,758.27,1852.0,175.0,764.0,489.5,37.5,367.76,228.0,69.0,14.0,17.55,17.55,0.00067,0.00074
18,2600.0,300.0,1575.0,2174.08,300.0,1242.23,1931.37,229.97,926.11,1866.94,175.0,758.27,1852.0,175.0,764.0,490.5,38.0,404.66,188.0,69.0,17.0,17.52,17.52,0.00074,0.00082
19,2600.0,300.0,1575.0,2177.0,300.0,1238.53,1996.44,237.93,860.38,1862.07,175.0,751.57,1852.0,175.0,764.0,490.5,38.5,423.62,184.0,39.0,20.0,27.22,27.22,0.00048,0.00086
20,2600.0,300.0,1575.0,2177.78,300.0,1239.15,1942.53,241.09,928.0,1866.62,175.0,757.49,1852.0,175.0,764.0,489.5,38.5,394.5,198.0,66.0,19.5,16.73,16.73,0.00084,0.00088
21,2600.0,300.0,1575.0,2175.26,300.0,1243.16,1960.55,258.91,941.79,1866.26,175.0,756.74,1852.0,175.0,764.0,489.0,38.0,372.31,224.0,63.0,22.0,17.67,17.67,0.00093,0.00104
22,2600.0,300.0,1575.0,2175.26,300.0,1243.16,1938.41,226.58,944.46,1866.94,175.0,758.27,1852.0,175.0,764.0,489.0,38.0,388.22,206.0,69.0,14.5,17.36,17.36,0.00105,0.00115
23,2600.0,300.0,1575.0,2168.74,300.0,1250.02,1939.05,231.42,956.4,1867.04,175.0,758.53,1852.0,175.0,764.0,490.0,37.0,379.04,218.0,70.0,15.0,18.17,18.17,0.001,0.00115
24,2600.0,300.0,1575.0,2174.08,300.0,1242.23,1937.22,240.67,923.83,1866.73,175.0,757.75,1852.0,175.0,764.0,490.5,38.0,401.25,192.0,67.0,20.0,17.5,17.5,0.00106,0.00117
25,2600.0,300.0,1575.0,2174.08,300.0,1242.23,2000.17,222.57,851.88,1861.4,175.0,751.06,1852.0,175.0,764.0,490.5,38.0,434.3,178.0,36.0,15.5,29.67,29.67,0.0006,0.00118
26,2600.0,300.0,1575.0,2178.17,300.0,1239.46,1953.51,242.36,952.66,1866.62,175.0,757.49,1852.0,175.0,764.0,489.0,38.5,368.86,224.0,66.0,17.5,16.11,16.11,0.00124,0.00126
27,2600.0,300.0,1575.0,2177.39,300.0,1238.84,1983.45,237.31,853.41,1862.28,175.0,751.74,1852.0,175.0,764.0,490.0,38.5,436.0,170.0,40.0,21.5,26.05,26.05,0.00074,0.00127
28,2600.0,300.0,1575.0,2168.34,300.0,1249.72,1984.71,231.09,843.97,1861.63,175.0,751.22,1852.0,175.0,764.0,490.5,37.0,450.67,164.0,37.0,20.0,29.86,29.86,0.00063,0.00127
29,2600.0,300.0,1575.0,2174.47,300.0,1242.54,1934.46,229.02,934.16,1866.94,175.0,758.27,1852.0,175.0,764.0,490.0,38.0,397.17,196.0,69.0,16.0,17.4,17.4,0.00119,0.0013
30,2600.0,300.0,1575.0,2171.19,300.0,1245.96,1934.58,226.08,944.12,1867.04,175.0,758.53,1852.0,175.0,764.0,490.5,37.5,390.59,204.0,70.0,14.5,18.0,18.0,0.00116,0.00131
31,2600.0,300.0,1575.0,2177.0,300.0,1238.53,1991.42,216.56,845.52,1861.4,175.0,751.06,1852.0,175.0,764.0,490.5,38.5,442.56,166.0,36.0,14.5,28.24,28.24,0.0007,0.00131
32,2600.0,300.0,1575.0,2171.59,300.0,1246.27,1956.46,256.71,950.15,1866.5,175.0,757.24,1852.0,175.0,764.0,490.0,37.5,368.57,228.0,65.0,21.0,17.79,17.79,0.00123,0.00138
33,2600.0,300.0,1575.0,2171.59,300.0,1246.27,1927.74,235.09,916.67,1866.94,175.0,758.27,1852.0,175.0,764.0,490.0,37.5,415.1,180.0,69.0,19.5,18.3,18.3,0.00123,0.00143
34,2600.0,300.0,1575.0,2172.38,300.0,1246.88,1940.73,241.0,940.89,1866.83,175.0,758.01,1852.0,175.0,764.0,489.0,37.5,388.29,208.0,68.0,18.5,17.63,17.63,0.00131,0.00145
35,2600.0,300.0,1575.0,2172.38,300.0,1246.88,1919.26,229.08,902.03,1867.04,175.0,758.53,1852.0,175.0,764.0,489.0,37.5,433.61,162.0,70.0,19.5,18.69,18.69,0.00132,0.00156
36,2600.0,300.0,1575.0,2175.26,300.0,1243.16,2000.56,246.1,867.77,1862.28,175.0,751.74,1852.0,175.0,764.0,489.0,38.0,417.55,194.0,40.0,21.5,27.97,27.97,0.00093,0.00172
37,2600.0,300.0,1575.0,2169.54,300.0,1250.62,1932.36,243.9,920.19,1866.83,175.0,758.01,1852.0,175.0,764.0,489.0,37.0,410.59,188.0,68.0,21.5,18.98,18.98,0.00144,0.00173
38,2600.0,300.0,1575.0,2177.0,300.0,1238.53,1934.9,230.55,926.47,1866.83,175.0,758.01,1852.0,175.0,764.0,490.5,38.5,401.02,190.0,68.0,17.0,16.89,16.89,0.00164,0.00174
39,2600.0,300.0,1575.0,2175.26,300.0,1243.16,1985.83,219.1,841.46,1861.4,175.0,751.06,1852.0,175.0,764.0,489.0,38.0,451.43,160.0,36.0,16.0,28.54,28.54,0.00093,0.00177
40,2600.0,300.0,1575.0,2171.99,300.0,1246.57,1989.83,223.53,844.36,1861.4,175.0,751.06,1852.0,175.0,764.0,489.5,37.5,448.11,166.0,36.0,17.0,29.67,29.67,0.00097,0.00192
41,2600.0,300.0,1575.0,2171.19,300.0,1245.96,1956.33,253.11,959.0,1866.62,175.0,757.49,1852.0,175.0,764.0,490.5,37.5,361.54,234.0,66.0,19.5,17.32,17.32,0.00177,0.00193
42,2600.0,300.0,1575.0,2177.78,300.0,1239.15,1962.04,255.99,944.73,1866.26,175.0,756.74,1852.0,175.0,764.0,489.5,38.5,367.65,226.0,63.0,21.0,16.71,16.71,0.00187,0.00196
43,2600.0,300.0,1575.0,2177.0,300.0,1238.53,1963.9,253.78,956.93,1866.38,175.0,756.99,1852.0,175.0,764.0,490.5,38.5,356.15,236.0,64.0,19.5,16.17,16.17,0.00199,0.00201
44,2600.0,300.0,1575.0,2174.08,300.0,1242.23,1950.25,232.59,964.47,1866.83,175.0,758.01,1852.0,175.0,764.0,490.5,38.0,363.04,230.0,68.0,14.5,16.88,16.88,0.00196,0.00208
45,2600.0,300.0,1575.0,2169.54,300.0,1250.62,1944.59,239.19,960.57,1866.94,175.0,758.27,1852.0,175.0,764.0,489.0,37.0,372.06,226.0,69.0,16.5,17.82,17.82,0.00186,0.00208
46,2600.0,300.0,1575.0,2168.34,300.0,1249.72,1918.84,229.7,908.98,1867.13,175.0,758.79,1852.0,175.0,764.0,490.5,37.0,428.12,168.0,71.0,19.0,19.2,19.2,0.00172,0.00209
47,2600.0,300.0,1575.0,2178.17,300.0,1239.46,1939.75,228.98,938.49,1866.83,175.0,758.01,1852.0,175.0,764.0,489.0,38.5,390.48,202.0,68.0,15.5,16.73,16.73,0.002,0.0021
48,2600.0,300.0,1575.0,2174.08,300.0,1242.23,2016.89,247.51,876.94,1862.07,175.0,751.57,1852.0,175.0,764.0,490.5,38.0,401.13,212.0,39.0,20.0,29.6,29.6,0.00106,0.0021
49,2600.0,300.0,1575.0,2177.39,300.0,1238.84,1987.02,229.7,849.19,1861.85,175.0,751.39,1852.0,175.0,764.0,490.0,38.5,439.33,168.0,38.0,19.0,26.97,26.97,0.00125,0.00222
50,2600.0,300.0,1575.0,2175.26,300.0,1243.16,1946.12,246.14,936.05,1866.62,175.0,757.49,1852.0,175.0,764.0,489.0,38.0,386.94,208.0,66.0,20.0,17.2,17.2,0.00213,0.0023
51,2600.0,300.0,1575.0,2174.47,300.0,1242.54,1992.27,228.15,849.67,1861.63,175.0,751.22,1852.0,175.0,764.0,490.0,38.0,438.99,172.0,37.0,18.0,28.59,28.59,0.00122,0.00232
52,2600.0,300.0,1575.0,2171.59,300.0,1246.27,1945.43,241.16,952.55,1866.83,175.0,758.01,1852.0,175.0,764.0,490.0,37.5,375.34,220.0,68.0,17.5,17.37,17.37,0.00224,0.00245
53,2600.0,300.0,1575.0,2177.0,300.0,1238.53,1943.04,244.52,921.38,1866.5,175.0,757.24,1852.0,175.0,764.0,490.5,38.5,397.99,194.0,65.0,21.0,17.04,17.03,0.0023,0.00247
54,2600.0,300.0,1575.0,2177.39,300.0,1238.84,1930.95,237.31,901.99,1866.62,175.0,757.49,1852.0,175.0,764.0,490.0,38.5,422.06,170.0,66.0,21.5,17.48,17.49,0.00227,0.0025
55,2600.0,300.0,1575.0,2177.39,300.0,1238.84,2023.14,256.71,891.57,1862.5,175.0,751.92,1852.0,175.0,764.0,490.0,38.5,382.45,228.0,41.0,21.0,28.25,28.25,0.0014,0.00262
56,2600.0,300.0,1575.0,2177.0,300.0,1238.53,1940.0,240.67,922.31,1866.62,175.0,757.49,1852.0,175.0,764.0,490.5,38.5,399.6,192.0,66.0,20.0,16.91,16.91,0.00248,0.00263
57,2600.0,300.0,1575.0,2174.08,300.0,1242.23,2010.84,254.42,880.88,1862.5,175.0,751.92,1852.0,175.0,764.0,490.5,38.0,399.12,212.0,41.0,22.0,28.4,28.39,0.0014,0.00265
58,2600.0,300.0,1575.0,2172.38,300.0,1246.88,1922.34,222.03,919.15,1867.13,175.0,758.79,1852.0,175.0,764.0,489.0,37.5,419.53,176.0,71.0,15.5,18.49,18.49,0.00233,0.00272
59,2600.0,300.0,1575.0,2177.0,300.0,1238.53,2011.51,243.1,872.58,1862.07,175.0,751.57,1852.0,175.0,764.0,490.5,38.5,405.64,204.0,39.0,19.5,28.25,28.25,0.00147,0.00276
60,2600.0,300.0,1575.0,2171.59,300.0,1246.27,1951.21,247.35,956.78,1866.73,175.0,757.75,1852.0,175.0,764.0,490.0,37.5,367.62,228.0,67.0,18.5,17.26,17.26,0.0026,0.00282
61,2600.0,300.0,1575.0,2175.26,300.0,1243.16,1921.66,229.08,900.83,1866.94,175.0,758.27,1852.0,175.0,764.0,489.0,38.0,431.89,162.0,69.0,19.5,18.07,18.06,0.00249,0.00284
62,2600.0,300.0,1575.0,2168.74,300.0,1250.02,1924.42,228.8,925.16,1867.13,175.0,758.79,1852.0,175.0,764.0,490.0,37.0,412.67,184.0,71.0,17.0,18.81,18.81,0.00241,0.00287
63,2600.0,300.0,1575.0,2171.99,300.0,1246.57,1931.51,235.29,926.48,1866.94,175.0,758.27,1852.0,175.0,764.0,489.5,37.5,405.56,190.0,69.0,18.5,18.03,18.03,0.00259,0.00294
64,2600.0,300.0,1575.0,2178.17,300.0,1239.46,2016.24,238.66,872.01,1861.85,175.0,751.39,1852.0,175.0,764.0,489.0,38.5,406.21,206.0,38.0,18.0,28.94,28.94,0.00159,0.00306
65,2600.0,300.0,1575.0,2172.38,300.0,1246.88,1931.63,227.38,936.01,1867.04,175.0,758.53,1852.0,175.0,764.0,489.0,37.5,399.84,196.0,70.0,15.5,18.01,18.01,0.0028,0.00318
66,2600.0,300.0,1575.0,2171.59,300.0,1246.27,1923.73,221.59,923.19,1867.13,175.0,758.79,1852.0,175.0,764.0,490.0,37.5,414.69,180.0,71.0,15.0,18.47,18.48,0.00274,0.0032
67,2600.0,300.0,1575.0,2177.78,300.0,1239.15,2002.7,218.55,853.71,1861.4,175.0,751.06,1852.0,175.0,764.0,489.5,38.5,431.1,180.0,36.0,14.0,29.03,29.02,0.00166,0.00322
68,2600.0,300.0,1575.0,2175.26,300.0,1243.16,1929.14,229.73,920.31,1866.94,175.0,758.27,1852.0,175.0,764.0,489.0,38.0,412.0,182.0,69.0,17.5,17.6,17.6,0.00298,0.0033
69,2600.0,300.0,1575.0,2177.78,300.0,1239.15,1932.57,230.33,920.71,1866.83,175.0,758.01,1852.0,175.0,764.0,489.5,38.5,407.91,184.0,68.0,17.5,16.97,16.97,0.00312,0.00333
70,2600.0,300.0,1575.0,2177.39,300.0,1238.84,1952.32,250.26,933.2,1866.38,175.0,756.99,1852.0,175.0,764.0,490.0,38.5,382.82,210.0,64.0,21.0,16.84,16.84,0.00318,0.00336
71,2600.0,300.0,1575.0,2174.08,300.0,1242.23,1941.35,235.81,942.43,1866.83,175.0,758.01,1852.0,175.0,764.0,490.5,38.0,384.92,208.0,68.0,17.0,17.07,17.07,0.00334,0.00357
72,2600.0,300.0,1575.0,2169.54,300.0,1250.62,1919.03,221.5,918.52,1867.22,175.0,759.06,1852.0,175.0,764.0,489.0,37.0,423.33,174.0,72.0,15.5,19.14,19.14,0.00296,0.00358
73,2600.0,300.0,1575.0,2177.78,300.0,1239.15,1955.89,251.35,940.51,1866.38,175.0,756.99,1852.0,175.0,764.0,489.5,38.5,375.22,218.0,64.0,20.5,16.61,16.61,0.00345,0.00359
74,2600.0,300.0,1575.0,2177.78,300.0,1239.15,1942.75,236.34,936.84,1866.73,175.0,757.75,1852.0,175.0,764.0,489.5,38.5,388.18,204.0,67.0,17.5,16.53,16.54,0.0035,0.00363
75,2600.0,300.0,1575.0,2169.54,300.0,1250.62,1916.99,222.71,912.25,1867.22,175.0,759.06,1852.0,175.0,764.0,489.0,37.0,429.24,168.0,72.0,16.5,19.21,19.21,0.00309,0.00376
76,2600.0,300.0,1575.0,2174.87,300.0,1242.85,1944.54,241.63,941.06,1866.73,175.0,757.75,1852.0,175.0,764.0,489.5,38.0,384.1,210.0,67.0,18.5,17.01,17.01,0.00353,0.00377
77,2600.0,300.0,1575.0,2169.14,300.0,1250.32,1921.79,219.03,927.01,1867.22,175.0,759.06,1852.0,175.0,764.0,489.5,37.0,415.05,182.0,72.0,14.0,19.14,19.14,0.00315,0.00382
78,2600.0,300.0,1575.0,2177.0,300.0,1238.53,1933.7,221.45,932.19,1866.94,175.0,758.27,1852.0,175.0,764.0,490.5,38.5,399.01,192.0,69.0,14.0,17.23,17.23,0.00354,0.00384
79,2600.0,300.0,1575.0,2172.38,300.0,1246.88,2004.34,249.92,870.94,1862.28,175.0,751.74,1852.0,175.0,764.0,489.0,37.5,414.82,200.0,40.0,22.0,29.18,29.18,0.00201,0.00393
80,2600.0,300.0,1575.0,2177.78,300.0,1239.15,2027.85,253.66,890.67,1862.28,175.0,751.74,1852.0,175.0,764.0,489.5,38.5,382.19,230.0,40.0,20.0,29.0,29.0,0.00205,0.00396
81,2600.0,300.0,1575.0,2171.19,300.0,1245.96,1930.82,228.47,933.77,1867.04,175.0,758.53,1852.0,175.0,764.0,490.5,37.5,400.46,194.0,70.0,16.0,18.05,18.05,0.0035,0.00398
82,2600.0,300.0,1575.0,2168.34,300.0,1249.72,1980.63,234.37,844.19,1861.85,175.0,751.39,1852.0,175.0,764.0,490.5,37.0,451.66,162.0,38.0,21.5,29.28,29.28,0.00205,0.00401
83,2600.0,300.0,1575.0,2168.34,300.0,1249.72,1927.16,239.51,915.15,1866.94,175.0,758.27,1852.0,175.0,764.0,490.5,37.0,416.85,180.0,69.0,21.0,19.07,19.07,0.00335,0.00405
84,2600.0,300.0,1575.0,2177.78,300.0,1239.15,2026.67,247.93,884.85,1862.07,175.0,751.57,1852.0,175.0,764.0,489.5,38.5,388.69,224.0,39.0,19.0,29.34,29.34,0.00206,0.00405
85,2600.0,300.0,1575.0,2172.38,300.0,1246.88,1951.1,239.5,966.56,1866.83,175.0,758.01,1852.0,175.0,764.0,489.0,37.5,362.22,234.0,68.0,16.0,17.1,17.11,0.00382,0.0041
86,2600.0,300.0,1575.0,2175.26,300.0,1243.16,2006.35,232.13,860.27,1861.63,175.0,751.22,1852.0,175.0,764.0,489.0,38.0,423.96,190.0,37.0,17.5,29.54,29.55,0.00211,0.00417
87,2600.0,300.0,1575.0,2177.78,300.0,1239.15,1981.45,232.43,848.24,1862.07,175.0,751.57,1852.0,175.0,764.0,489.5,38.5,442.64,164.0,39.0,20.5,26.25,26.24,0.00243,0.00419
