Parameter,A,A,A,B,B,B,C,C,C,D,D,D,E,E,E,Column length,Column angle,I-shaft length,Pinion length,Mounting angle,Offset angle,UJ1 angle,UJ2 angle,diff in UJ angles,Modulation (%)
177,2600.0,300.0,1575.0,2171.19,300.0,1245.96,2002.54,239.98,861.31,1861.85,175.0,751.39,1852.0,175.0,764.0,490.5,37.5,424.27,190.0,38.0,20.0,29.86,29.86,0.00449,0.009
178,2600.0,300.0,1575.0,2177.0,300.0,1238.53,1936.25,241.68,906.81,1866.5,175.0,757.24,1852.0,175.0,764.0,490.5,38.5,414.0,178.0,65.0,22.0,17.47,17.46,0.00835,0.00917
179,2600.0,300.0,1575.0,2174.87,300.0,1242.85,1928.09,234.51,909.61,1866.83,175.0,758.01,1852.0,175.0,764.0,489.5,38.0,419.81,174.0,68.0,20.0,17.84,17.84,0.00827,0.00929
180,2600.0,300.0,1575.0,2172.38,300.0,1246.88,1989.83,223.53,844.36,1861.4,175.0,751.06,1852.0,175.0,764.0,489.0,37.5,448.54,166.0,36.0,17.0,29.64,29.64,0.00472,0.00938
181,2600.0,300.0,1575.0,2172.38,300.0,1246.88,1958.24,259.66,945.32,1866.38,175.0,756.99,1852.0,175.0,764.0,489.0,37.5,372.05,226.0,64.0,22.0,18.18,18.19,0.00822,0.00943
182,2600.0,300.0,1575.0,2174.08,300.0,1242.23,1948.61,233.49,960.41,1866.83,175.0,758.01,1852.0,175.0,764.0,490.5,38.0,366.99,226.0,68.0,15.0,16.88,16.87,0.00894,0.00946
183,2600.0,300.0,1575.0,2168.34,300.0,1249.72,1928.66,235.29,927.84,1867.04,175.0,758.53,1852.0,175.0,764.0,490.5,37.0,406.49,190.0,70.0,18.5,18.66,18.67,0.00806,0.0095
184,2600.0,300.0,1575.0,2171.59,300.0,1246.27,1940.66,245.74,931.91,1866.73,175.0,757.75,1852.0,175.0,764.0,490.0,37.5,393.82,202.0,67.0,20.5,17.98,17.99,0.00845,0.00957
185,2600.0,300.0,1575.0,2178.17,300.0,1239.46,1989.86,216.06,844.38,1861.4,175.0,751.06,1852.0,175.0,764.0,489.0,38.5,445.64,164.0,36.0,14.5,28.04,28.04,0.00518,0.00963
186,2600.0,300.0,1575.0,2169.14,300.0,1250.32,1926.54,234.9,922.01,1867.04,175.0,758.53,1852.0,175.0,764.0,489.5,37.0,413.37,184.0,70.0,19.0,18.8,18.79,0.00816,0.00969
187,2600.0,300.0,1575.0,2177.78,300.0,1239.15,1956.01,247.93,949.19,1866.5,175.0,757.24,1852.0,175.0,764.0,489.5,38.5,368.75,224.0,65.0,19.0,16.22,16.23,0.00954,0.00969
188,2600.0,300.0,1575.0,2177.0,300.0,1238.53,1946.46,245.74,928.72,1866.5,175.0,757.24,1852.0,175.0,764.0,490.5,38.5,389.97,202.0,65.0,20.5,16.82,16.83,0.00923,0.00974
189,2600.0,300.0,1575.0,2174.87,300.0,1242.85,1980.33,229.72,843.96,1861.85,175.0,751.39,1852.0,175.0,764.0,489.5,38.0,449.33,160.0,38.0,20.0,27.41,27.42,0.0054,0.00978
190,2600.0,300.0,1575.0,2174.47,300.0,1242.54,1936.0,228.45,938.19,1866.94,175.0,758.27,1852.0,175.0,764.0,490.0,38.0,393.21,200.0,69.0,15.5,17.36,17.37,0.00898,0.00981
191,2600.0,300.0,1575.0,2171.99,300.0,1246.57,1987.33,234.54,849.43,1861.85,175.0,751.39,1852.0,175.0,764.0,489.5,37.5,442.84,170.0,38.0,20.5,28.75,28.75,0.00513,0.00983
192,2600.0,300.0,1575.0,2177.0,300.0,1238.53,2012.97,248.54,878.18,1862.28,175.0,751.74,1852.0,175.0,764.0,490.5,38.5,399.26,210.0,40.0,20.5,27.95,27.95,0.00531,0.00984
193,2600.0,300.0,1575.0,2171.19,300.0,1245.96,1992.22,240.97,856.96,1862.07,175.0,751.57,1852.0,175.0,764.0,490.5,37.5,432.25,180.0,39.0,21.5,28.8,28.79,0.00525,0.01006
194,2600.0,300.0,1575.0,2174.47,300.0,1242.54,1987.29,240.93,856.64,1862.28,175.0,751.74,1852.0,175.0,764.0,490.0,38.0,432.96,176.0,40.0,22.0,27.2,27.2,0.00564,0.01011
195,2600.0,300.0,1575.0,2171.19,300.0,1245.96,1936.75,241.09,931.06,1866.83,175.0,758.01,1852.0,175.0,764.0,490.5,37.5,396.99,198.0,68.0,19.5,17.93,17.94,0.00901,0.01018
196,2600.0,300.0,1575.0,2172.38,300.0,1246.88,1977.36,234.94,844.92,1862.07,175.0,751.57,1852.0,175.0,764.0,489.0,37.5,451.48,160.0,39.0,22.0,27.79,27.78,0.00555,0.0102
197,2600.0,300.0,1575.0,2172.38,300.0,1246.88,1931.94,242.43,911.37,1866.73,175.0,757.75,1852.0,175.0,764.0,489.0,37.5,416.76,180.0,67.0,22.0,18.6,18.59,0.00872,0.01024
198,2600.0,300.0,1575.0,2174.47,300.0,1242.54,1923.44,223.85,913.5,1867.04,175.0,758.53,1852.0,175.0,764.0,490.0,38.0,420.82,172.0,70.0,16.5,17.92,17.91,0.00908,0.01025
199,2600.0,300.0,1575.0,2169.14,300.0,1250.32,1927.99,226.84,935.55,1867.13,175.0,758.79,1852.0,175.0,764.0,489.5,37.0,403.22,194.0,71.0,15.5,18.66,18.67,0.00871,0.01027
200,2600.0,300.0,1575.0,2174.47,300.0,1242.54,1951.92,241.66,958.45,1866.73,175.0,757.75,1852.0,175.0,764.0,490.0,38.0,365.57,228.0,67.0,17.0,16.63,16.62,0.00989,0.0103
201,2600.0,300.0,1575.0,2174.08,300.0,1242.23,1929.26,238.04,905.06,1866.73,175.0,757.75,1852.0,175.0,764.0,490.5,38.0,421.27,172.0,67.0,21.5,18.06,18.07,0.00907,0.01032
202,2600.0,300.0,1575.0,2174.87,300.0,1242.85,1992.27,228.15,849.67,1861.63,175.0,751.22,1852.0,175.0,764.0,489.5,38.0,439.43,172.0,37.0,18.0,28.56,28.57,0.00547,0.0104
203,2600.0,300.0,1575.0,2177.78,300.0,1239.15,1927.71,235.69,894.71,1866.62,175.0,757.49,1852.0,175.0,764.0,489.5,38.5,430.48,162.0,66.0,22.0,17.69,17.68,0.00948,0.01055
204,2600.0,300.0,1575.0,2175.26,300.0,1243.16,1936.66,235.57,930.84,1866.83,175.0,758.01,1852.0,175.0,764.0,489.0,38.0,398.28,196.0,68.0,18.0,17.28,17.27,0.00976,0.01059
205,2600.0,300.0,1575.0,2177.78,300.0,1239.15,2016.24,238.66,872.01,1861.85,175.0,751.39,1852.0,175.0,764.0,489.5,38.5,405.78,206.0,38.0,18.0,28.98,28.97,0.00555,0.01073
206,2600.0,300.0,1575.0,2171.19,300.0,1245.96,2007.17,246.67,869.07,1862.07,175.0,751.57,1852.0,175.0,764.0,490.5,37.5,414.48,200.0,39.0,21.0,29.83,29.84,0.00538,0.01077
207,2600.0,300.0,1575.0,2169.14,300.0,1250.32,1943.02,239.91,956.46,1866.94,175.0,758.27,1852.0,175.0,764.0,489.5,37.0,375.62,222.0,69.0,17.0,17.9,17.91,0.00961,0.01084
208,2600.0,300.0,1575.0,2177.78,300.0,1239.15,1926.34,229.7,905.29,1866.83,175.0,758.01,1852.0,175.0,764.0,489.5,38.5,423.83,168.0,68.0,19.0,17.32,17.31,0.00999,0.01087
209,2600.0,300.0,1575.0,2175.26,300.0,1243.16,1998.61,222.03,850.74,1861.4,175.0,751.06,1852.0,175.0,764.0,489.0,38.0,437.35,176.0,36.0,15.5,29.46,29.46,0.00552,0.01088
210,2600.0,300.0,1575.0,2172.38,300.0,1246.88,1949.67,251.35,944.03,1866.62,175.0,757.49,1852.0,175.0,764.0,489.0,37.5,379.06,218.0,66.0,20.5,17.73,17.74,0.00988,0.01103
211,2600.0,300.0,1575.0,2169.54,300.0,1250.62,1913.26,214.19,909.64,1867.3,175.0,759.32,1852.0,175.0,764.0,489.0,37.0,435.1,162.0,73.0,14.0,19.6,19.61,0.00889,0.01106
212,2600.0,300.0,1575.0,2171.59,300.0,1246.27,1943.82,249.77,930.89,1866.62,175.0,757.49,1852.0,175.0,764.0,490.0,37.5,392.26,204.0,66.0,21.5,18.17,18.18,0.00965,0.01106
213,2600.0,300.0,1575.0,2168.34,300.0,1249.72,1929.37,240.14,920.92,1866.94,175.0,758.27,1852.0,175.0,764.0,490.5,37.0,410.85,186.0,69.0,20.5,18.89,18.9,0.0093,0.01112
214,2600.0,300.0,1575.0,2171.59,300.0,1246.27,1924.49,237.18,900.71,1866.83,175.0,758.01,1852.0,175.0,764.0,490.0,37.5,429.43,166.0,68.0,22.0,18.85,18.84,0.00941,0.01121
215,2600.0,300.0,1575.0,2174.87,300.0,1242.85,1986.86,236.64,852.62,1862.07,175.0,751.57,1852.0,175.0,764.0,489.5,38.0,437.77,172.0,39.0,21.0,27.47,27.48,0.00624,0.01132
216,2600.0,300.0,1575.0,2177.39,300.0,1238.84,2002.7,218.55,853.71,1861.4,175.0,751.06,1852.0,175.0,764.0,490.0,38.5,430.67,180.0,36.0,14.0,29.06,29.05,0.00586,0.01136
217,2600.0,300.0,1575.0,2168.74,300.0,1250.02,1923.02,229.13,921.11,1867.13,175.0,758.79,1852.0,175.0,764.0,490.0,37.0,416.63,180.0,71.0,17.5,18.89,18.89,0.00963,0.01151
218,2600.0,300.0,1575.0,2169.54,300.0,1250.62,1930.94,223.87,944.11,1867.13,175.0,758.79,1852.0,175.0,764.0,489.0,37.0,395.82,202.0,71.0,14.0,18.66,18.67,0.00978,0.01153
219,2600.0,300.0,1575.0,2169.54,300.0,1250.62,1946.57,254.42,937.06,1866.62,175.0,757.49,1852.0,175.0,764.0,489.0,37.0,387.44,212.0,66.0,22.0,18.8,18.81,0.00977,0.01162
220,2600.0,300.0,1575.0,2177.78,300.0,1239.15,1987.02,229.7,849.19,1861.85,175.0,751.39,1852.0,175.0,764.0,489.5,38.5,439.78,168.0,38.0,19.0,26.94,26.95,0.00659,0.01168
221,2600.0,300.0,1575.0,2168.74,300.0,1250.02,1937.71,245.74,933.44,1866.83,175.0,758.01,1852.0,175.0,764.0,490.0,37.0,395.65,202.0,68.0,20.5,18.58,18.59,0.00997,0.0117
222,2600.0,300.0,1575.0,2171.99,300.0,1246.57,1914.97,216.41,906.04,1867.22,175.0,759.06,1852.0,175.0,764.0,489.5,37.5,434.75,160.0,72.0,15.0,18.94,18.95,0.00978,0.01172
223,2600.0,300.0,1575.0,2172.38,300.0,1246.88,1916.39,214.68,910.4,1867.22,175.0,759.06,1852.0,175.0,764.0,489.0,37.5,431.31,164.0,72.0,14.0,18.95,18.96,0.00978,0.01173
224,2600.0,300.0,1575.0,2178.17,300.0,1239.46,1981.45,232.43,848.24,1862.07,175.0,751.57,1852.0,175.0,764.0,489.0,38.5,443.08,164.0,39.0,20.5,26.22,26.22,0.00684,0.01176
225,2600.0,300.0,1575.0,2174.08,300.0,1242.23,1987.39,219.65,842.59,1861.4,175.0,751.06,1852.0,175.0,764.0,490.5,38.0,448.36,162.0,36.0,16.0,28.73,28.74,0.00616,0.01179
226,2600.0,300.0,1575.0,2177.39,300.0,1238.84,2026.67,247.93,884.85,1862.07,175.0,751.57,1852.0,175.0,764.0,490.0,38.5,388.25,224.0,39.0,19.0,29.38,29.37,0.00614,0.01206
227,2600.0,300.0,1575.0,2168.74,300.0,1250.02,1919.4,233.77,902.4,1867.04,175.0,758.53,1852.0,175.0,764.0,490.0,37.0,432.89,164.0,70.0,21.0,19.39,19.4,0.00982,0.01207
228,2600.0,300.0,1575.0,2175.26,300.0,1243.16,2000.38,241.54,863.56,1862.07,175.0,751.57,1852.0,175.0,764.0,489.0,38.0,422.01,190.0,39.0,20.5,28.32,28.31,0.00656,0.01233
229,2600.0,300.0,1575.0,2174.08,300.0,1242.23,2016.76,252.41,881.36,1862.28,175.0,751.74,1852.0,175.0,764.0,490.5,38.0,396.54,216.0,40.0,21.0,29.2,29.21,0.00666,0.013
230,2600.0,300.0,1575.0,2177.0,300.0,1238.53,1998.17,243.09,865.76,1862.28,175.0,751.74,1852.0,175.0,764.0,490.5,38.5,417.35,190.0,40.0,21.0,26.95,26.96,0.00737,0.01308
231,2600.0,300.0,1575.0,2177.0,300.0,1238.53,2004.27,219.03,854.85,1861.4,175.0,751.06,1852.0,175.0,764.0,490.5,38.5,428.48,182.0,36.0,14.0,29.2,29.21,0.00673,0.01313
232,2600.0,300.0,1575.0,2178.17,300.0,1239.46,2010.05,242.43,871.4,1862.07,175.0,751.57,1852.0,175.0,764.0,489.0,38.5,408.72,202.0,39.0,19.5,28.05,28.05,0.00709,0.01318
233,2600.0,300.0,1575.0,2171.59,300.0,1246.27,1989.83,223.53,844.36,1861.4,175.0,751.06,1852.0,175.0,764.0,490.0,37.5,447.67,166.0,36.0,17.0,29.7,29.69,0.00665,0.01324
234,2600.0,300.0,1575.0,2177.78,300.0,1239.15,2000.85,234.02,859.99,1861.85,175.0,751.39,1852.0,175.0,764.0,489.5,38.5,423.59,186.0,38.0,18.5,27.85,27.85,0.00732,0.01349
235,2600.0,300.0,1575.0,2168.74,300.0,1250.02,1980.63,234.37,844.19,1861.85,175.0,751.39,1852.0,175.0,764.0,490.0,37.0,452.1,162.0,38.0,21.5,29.25,29.25,0.00699,0.01367
236,2600.0,300.0,1575.0,2178.17,300.0,1239.46,1992.65,244.68,865.07,1862.5,175.0,751.92,1852.0,175.0,764.0,489.0,38.5,421.49,186.0,41.0,22.0,26.18,26.17,0.00817,0.01401
237,2600.0,300.0,1575.0,2169.54,300.0,1250.62,1983.21,230.41,842.84,1861.63,175.0,751.22,1852.0,175.0,764.0,489.0,37.0,453.71,162.0,37.0,20.0,29.67,29.66,0.00706,0.01404
238,2600.0,300.0,1575.0,2177.39,300.0,1238.84,2027.85,253.66,890.67,1862.28,175.0,751.74,1852.0,175.0,764.0,490.0,38.5,381.75,230.0,40.0,20.0,29.03,29.03,0.00733,0.0142
239,2600.0,300.0,1575.0,2177.0,300.0,1238.53,2002.34,234.65,861.15,1861.85,175.0,751.39,1852.0,175.0,764.0,490.5,38.5,420.94,188.0,38.0,18.5,28.02,28.02,0.00766,0.01423
240,2600.0,300.0,1575.0,2177.0,300.0,1238.53,2008.55,251.23,878.89,1862.5,175.0,751.92,1852.0,175.0,764.0,490.5,38.5,400.12,208.0,41.0,21.5,27.25,27.26,0.00801,0.01441
241,2600.0,300.0,1575.0,2174.47,300.0,1242.54,2025.41,260.03,893.54,1862.5,175.0,751.92,1852.0,175.0,764.0,490.0,38.0,381.6,232.0,41.0,21.5,29.44,29.43,0.00737,0.01452
242,2600.0,300.0,1575.0,2169.54,300.0,1250.62,1996.09,244.68,860.1,1862.07,175.0,751.57,1852.0,175.0,764.0,489.0,37.0,430.88,186.0,39.0,22.0,29.9,29.89,0.00751,0.01507
243,2600.0,300.0,1575.0,2174.08,300.0,1242.23,1992.27,228.15,849.67,1861.63,175.0,751.22,1852.0,175.0,764.0,490.5,38.0,438.55,172.0,37.0,18.0,28.62,28.61,0.00791,0.01507
244,2600.0,300.0,1575.0,2177.39,300.0,1238.84,1996.44,237.93,860.38,1862.07,175.0,751.57,1852.0,175.0,764.0,490.0,38.5,424.07,184.0,39.0,20.0,27.19,27.2,0.00844,0.01514
245,2600.0,300.0,1575.0,2174.47,300.0,1242.54,2016.89,247.51,876.94,1862.07,175.0,751.57,1852.0,175.0,764.0,490.0,38.0,401.57,212.0,39.0,20.0,29.57,29.58,0.00768,0.01521
246,2600.0,300.0,1575.0,2177.78,300.0,1239.15,1991.42,216.56,845.52,1861.4,175.0,751.06,1852.0,175.0,764.0,489.5,38.5,443.44,166.0,36.0,14.5,28.18,28.19,0.00827,0.01546
247,2600.0,300.0,1575.0,2178.17,300.0,1239.46,2012.92,256.66,887.36,1862.71,175.0,752.11,1852.0,175.0,764.0,489.0,38.5,391.37,218.0,42.0,22.0,27.06,27.05,0.00883,0.01575
248,2600.0,300.0,1575.0,2177.0,300.0,1238.53,1987.02,229.7,849.19,1861.85,175.0,751.39,1852.0,175.0,764.0,490.5,38.5,438.89,168.0,38.0,19.0,27.0,26.99,0.00909,0.01617
249,2600.0,300.0,1575.0,2177.39,300.0,1238.84,2008.65,229.53,862.01,1861.63,175.0,751.22,1852.0,175.0,764.0,490.0,38.5,418.86,192.0,37.0,16.5,28.92,28.91,0.00851,0.0164
250,2600.0,300.0,1575.0,2171.99,300.0,1246.57,2004.34,249.92,870.94,1862.28,175.0,751.74,1852.0,175.0,764.0,489.5,37.5,414.38,200.0,40.0,22.0,29.21,29.21,0.00843,0.01644
251,2600.0,300.0,1575.0,2177.78,300.0,1239.15,1983.45,237.31,853.41,1862.28,175.0,751.74,1852.0,175.0,764.0,489.5,38.5,436.45,170.0,40.0,21.5,26.02,26.03,0.00971,0.01656
252,2600.0,300.0,1575.0,2178.17,300.0,1239.46,1994.52,225.87,851.36,1861.63,175.0,751.22,1852.0,175.0,764.0,489.0,38.5,435.71,174.0,37.0,17.0,27.83,27.84,0.00901,0.0166
253,2600.0,300.0,1575.0,2168.74,300.0,1250.02,1984.71,231.09,843.97,1861.63,175.0,751.22,1852.0,175.0,764.0,490.0,37.0,451.1,164.0,37.0,20.0,29.83,29.84,0.00833,0.01668
254,2600.0,300.0,1575.0,2178.17,300.0,1239.46,1994.98,237.25,859.19,1862.07,175.0,751.57,1852.0,175.0,764.0,489.0,38.5,426.74,182.0,39.0,20.0,27.04,27.03,0.00939,0.01673
255,2600.0,300.0,1575.0,2174.08,300.0,1242.23,2007.87,232.74,861.42,1861.63,175.0,751.22,1852.0,175.0,764.0,490.5,38.0,420.91,192.0,37.0,17.5,29.75,29.76,0.00848,0.01691
256,2600.0,300.0,1575.0,2177.0,300.0,1238.53,2017.73,239.28,873.18,1861.85,175.0,751.39,1852.0,175.0,764.0,490.5,38.5,403.15,208.0,38.0,18.0,29.15,29.16,0.00873,0.017
257,2600.0,300.0,1575.0,2174.87,300.0,1242.85,2000.56,246.1,867.77,1862.28,175.0,751.74,1852.0,175.0,764.0,489.5,38.0,417.11,194.0,40.0,21.5,28.0,27.99,0.00934,0.01732
258,2600.0,300.0,1575.0,2177.0,300.0,1238.53,2023.14,256.71,891.57,1862.5,175.0,751.92,1852.0,175.0,764.0,490.5,38.5,382.01,228.0,41.0,21.0,28.28,28.27,0.00926,0.01739
259,2600.0,300.0,1575.0,2177.0,300.0,1238.53,2010.18,230.1,863.17,1861.63,175.0,751.22,1852.0,175.0,764.0,490.5,38.5,416.67,194.0,37.0,16.5,29.06,29.07,0.00912,0.01768
260,2600.0,300.0,1575.0,2177.0,300.0,1238.53,1994.52,225.87,851.36,1861.63,175.0,751.22,1852.0,175.0,764.0,490.5,38.5,434.39,174.0,37.0,17.0,27.92,27.91,0.00959,0.01774
261,2600.0,300.0,1575.0,2177.78,300.0,1239.15,1989.86,216.06,844.38,1861.4,175.0,751.06,1852.0,175.0,764.0,489.5,38.5,445.2,164.0,36.0,14.5,28.07,28.06,0.00966,0.01799
262,2600.0,300.0,1575.0,2174.47,300.0,1242.54,1985.83,219.1,841.46,1861.4,175.0,751.06,1852.0,175.0,764.0,490.0,38.0,450.55,160.0,36.0,16.0,28.6,28.59,0.00952,0.0181
263,2600.0,300.0,1575.0,2174.87,300.0,1242.85,2000.17,222.57,851.88,1861.4,175.0,751.06,1852.0,175.0,764.0,489.5,38.0,435.17,178.0,36.0,15.5,29.6,29.61,0.00925,0.01836
264,2600.0,300.0,1575.0,2174.47,300.0,1242.54,2010.84,254.42,880.88,1862.5,175.0,751.92,1852.0,175.0,764.0,490.0,38.0,399.56,212.0,41.0,22.0,28.36,28.37,0.00978,0.01843
265,2600.0,300.0,1575.0,2172.38,300.0,1246.88,1988.49,229.7,846.82,1861.63,175.0,751.22,1852.0,175.0,764.0,489.0,37.5,445.88,168.0,37.0,19.0,29.14,29.15,0.00977,0.01903
266,2600.0,300.0,1575.0,2175.26,300.0,1243.16,2015.43,246.82,875.75,1862.07,175.0,751.57,1852.0,175.0,764.0,489.0,38.0,404.18,210.0,39.0,20.0,29.39,29.38,0.00979,0.01924
